"","datetime","city","state","country","shape","DurationSeconds","DurationHrsMins","comments","DatePosted","latitude","longitude","X"
"47491",2020-05-16,"","","","","0","","","This is my second time entering this description the first time it was wiped clean&#44 might just be a coincidence.My girlfriend and I",0,0,0
"47628",2020-05-17,"","sd","","","0","circle","1 minute","Several similarly colored and sized lights appeared then disappeared in a matter of 15 seconds",0,0,0
"48124",2020-05-20,"","nv","","","0","light","45 min","red light in sky move from one place to another and come together and make  a big red ball",0,0,0
"48931",2019-05-24,"","","","","0","","","I would like the person to know who submitted on 5/24/99 from Bainbridge Island that he/she was awaken by  up with 3 people in his/her",0,0,0
"48970",2020-05-24,"","","","","0","","","Peter&#44 in reference to the gentleman who critcized your site&#44 I would like to point out that the database you provide is unprecedented.",0,0,0
"49439",2019-05-27,"","","","","0","rectangle","","[Diary of my EncountersThis is the story I have known since 1979In 1979 I was holidaying at a place called Berowra waters on the South",0,0,0
"49456",2020-05-27,"","","","","0","","irrelevant - see text bel","Ball-form&#44 white&#44 partially transparent object&#44 diam. ca 10 m&#44 two legs ahead",0,0,0
"50669",2020-05-05,"","","","","0","","","Characteristics: Not aura or haze&#44 but more like emanation of an energy field.",0,0,0
"50959",2020-05-06,"","","","","0","circle","30 seconds","it was early morning i was reading a book for some reason and i saw 5 circle shaped UFO&#39S in the sky that were moving rapidly through t",0,0,0
"51274",2020-05-08,"","wa","","","0","other","15 minutes","Black V&#44 almost boomerang shape object slowly ascending into the sky&#44 high enough to be out of sight.",0,0,0
"52058",2019-06-01,"","ny","","","0","teardrop","30 minutes","I was 11 yrs old. My Aunt and Uncle and I were driveing from Elmira NY to Bradford PA we were in the hills coming around a bend near a",0,0,0
"52367",2019-06-01,"","tn","","","0","light","1 hour","Bright Light followed me while driving and it seemed like forever",0,0,0
"53134",2020-06-01,"","nv","","","0","circle","10- 20 minutes","((NUFORC Note:  Probable hoax.  PD))  Unbelievable lights in the sky. at least 60 lights in circle formations.",0,0,0
"53513",2019-06-13,"","tx","","","0","oval","","UFO sitings for years",0,0,0
"54091",2019-06-15,"","","","","0","triangle","3 minutes?","Hi&#44 I don&#39t know a lot of the information on where or when this happened cause I wasn&#39t the one that saw it.My mom did when she was",0,0,0
"55402",2019-06-18,"","","","","0","","","Several observers in car on Hwy. I-80 see 4x bright lights approaching them.  Obj. suddenly &quot;rolls&quot; and they see it is not an a/c.",0,0,0
"57475",2020-06-25,"","nv","","","0","light","10 seconds","These orange lights that have been spotted lately...these seem to be the exact same lights I saw over the Wendover&#44 Nevada airport&#44 and",0,0,0
"58645",2019-06-30,"","","","","0","","","Famouse historical case TAE&#39s (former airline) Supercaravelle was the first aircraft involved in the incident. Flight JK-297 had taken",0,0,0
"58807",2019-06-30,"","ny","","","0","triangle","half of one hour","((HOAX??))  Very large triangle shaped thing in the sky that hoovered 50 feet over us and did not make a sound and did make wind.",0,0,0
"59118",2020-06-30,"","","","","0","","","A black blob floated across the floor being followed by a ball of orange tinted white light and a piller of orange tinted white light .",0,0,0
"59726",2020-06-05,"","","","","0","flash","30 mins","bright lights on ground were following along with the speed of our plane",0,0,0
