"","datetime","city","country","shape"
"185",2020-10-10,"indio","us","oval"
"186",2020-10-10,"owego","us","triangle"
"187",2020-10-10,"downingtown","us","circle"
"188",2020-10-10,"austin","us","flash"
"189",2020-10-10,"starrsville (covington)","us","sphere"
"190",2020-10-10,"west palm beach florida","","fireball"
"191",2020-10-10,"conyers","us","unknown"
"192",2020-10-10,"vero beach","us","unknown"
"193",2020-10-10,"jensen beach","us","oval"
"194",2020-10-10,"houston","us","formation"
"195",2020-10-10,"duluth","us","light"
"196",2020-10-10,"fleming","us","circle"
"197",2020-10-10,"grove city","us","unknown"
"198",2020-10-10,"van alstyne","us","other"
"199",2020-10-10,"northglenn","us","triangle"
"200",2020-10-10,"stord (norway)","","light"
"201",2020-10-10,"london (canada)","ca","other"
"202",2020-10-10,"north branch","us","light"
"203",2020-10-10,"slingerlands","us","circle"
"204",2020-10-10,"carlin","us","disk"
"205",2020-10-10,"evansville","us","formation"
"206",2020-10-10,"albany","us","oval"
"207",2020-10-10,"amarillo (hwy. 140)","us","flash"
"208",2020-10-10,"fremont","us","triangle"
"209",2020-10-10,"yuma","us","triangle"
"210",2020-10-10,"south bend","us","light"
"211",2020-10-10,"la crescent","us","formation"
"212",2020-10-10,"moon township","","unknown"
"213",2020-10-10,"philadelphia","us","oval"
"214",2020-10-10,"seattle","us","light"
"215",2020-10-10,"pueblo","us","light"
"216",2020-10-10,"cincinnati","us","oval"
"217",2020-10-10,"san diego","us","disk"
"218",2020-10-10,"madison","us","circle"
"219",2020-10-10,"coldwater","us","sphere"
"220",2020-10-10,"greenland","","rectangle"
"221",2020-10-10,"crested butte","us","egg"
"222",2020-10-10,"tulsa","us","unknown"
"223",2020-10-10,"eagar","us","unknown"
"224",2020-10-10,"suffolk","us","unknown"
"225",2020-10-10,"anaheim","us","light"
"226",2020-10-10,"wilmington","us","light"
"227",2020-10-10,"leesburg","us","disk"
"228",2020-10-10,"thief river falls","us","other"
"229",2020-10-10,"michigan city","us","changing"
"230",2020-10-10,"cupertino","us","light"
"231",2020-10-10,"orchard park","us","light"
"232",2020-10-10,"harrisburg","us","circle"
"233",2020-10-10,"euclid","us","circle"
"234",2020-10-10,"starr","us","formation"
"235",2020-10-10,"leominster","us","flash"
"236",2020-10-10,"greenwich","us","light"
"237",2020-10-10,"north charleston","us","light"
"238",2020-10-10,"san francisco airport","","triangle"
"239",2020-10-10,"springfield","us","cigar"
"240",2020-10-10,"bridgeport","us","light"
"241",2020-10-10,"clackamas","us","triangle"
"242",2020-10-10,"san angelo","us","oval"
"243",2020-10-10,"windsor","us","fireball"
"244",2020-10-10,"sterling","us","cylinder"
"245",2020-10-10,"everett","us","other"
"246",2020-10-10,"kykotsmovi","us","disk"
"247",2020-10-10,"albany","us","circle"
"248",2020-10-10,"garden grove","us","egg"
"249",2020-10-10,"miami","us","changing"
"250",2020-10-10,"anaheim","us","disk"
"251",2020-10-10,"troy","us","triangle"
"252",2020-10-10,"farmington","us","circle"
"253",2020-10-10,"prescott valley","us","other"
"254",2020-10-10,"ashville","us","circle"
"255",2020-10-10,"epsom (surrey) (uk/england)","gb","oval"
"256",2020-10-10,"north kingstown","us","oval"
"257",2020-10-10,"groton","us","disk"
"258",2020-10-10,"peabody-saugus","","flash"
"259",2020-10-10,"mechanicsville","us","light"
"260",2020-10-10,"murfeesboro/smyrna","",""
"261",2020-10-10,"hamilton (canada)","ca","flash"
"262",2020-10-10,"middletown","us","fireball"
"263",2020-10-10,"lakewood","us","fireball"
"264",2020-10-10,"york","us","circle"
"265",2020-10-10,"north platte","us","circle"
"266",2020-10-10,"waynesville","us","triangle"
"267",2020-10-10,"bridgeport","us","circle"
"268",2020-10-10,"san francisco airport","","triangle"
"269",2020-10-10,"san diego","us","sphere"
"270",2020-10-10,"sterling heights","us","oval"
"271",2020-10-10,"syracuse","us","light"
"272",2020-10-10,"syracuse","us","circle"
"273",2020-10-10,"colorado springs","us","light"
